conflict,country,pct_tot,v2x_libdem,GDP.norm,v2x_libdem.gradient,GDP.gradient_norm,International migrant stock (% of population),International migrant stock (% of population)_norm,v2xeg_eqdr,trade,trade_norm,"Population, total_norm"
Afghanistan,Iran,0.3483853678145518,0.167,1.0,0.139,1.0,4.25786235402481,0.4555512741656911,0.792,0.0,0.0,0.4433606424786702
Afghanistan,Pakistan,0.646790834784939,0.098,0.7464024331276424,0.07,0.7464024331276425,3.02488048378448,0.0,0.116,0.0,0.0,1.0
Afghanistan,Tajikistan,0.004779132609763723,0.081,0.0,0.053000000000000005,0.0,4.83767615150743,0.6697757656990266,0.473,0.0,0.0,0.01233572077493559
Afghanistan,Uzbekistan,2.233239537272768e-05,0.035,0.1186411483545591,0.007000000000000003,0.1186411483545591,5.73145148942692,1.0,0.683,0.0,0.0,0.14608317334162485
Afghanistan,Turkmenistan,2.233239537272768e-05,0.017,0.01879995563262745,-0.011,0.018799955632627447,4.8539804892635,0.675799748710032,0.574,0.0,0.0,0.0
Burundi,Democratic Republic of the Congo,0.15367261200594534,0.134,0.6631211842105321,0.033,0.6631211842105321,0.70624628058302,0.06568344079854557,0.219,0.0,0.0,1.0
Burundi,Rwanda,0.18195847362514028,0.146,0.0,0.044999999999999984,0.0,3.80308098441419,0.9999999999999999,0.803,0.0,0.0,0.0
Burundi,Tanzania,0.4802643552643553,0.389,0.9999999999999999,0.28800000000000003,1.0,0.488535530485828,0.0,0.527,0.0,0.0,0.6202068808318881
Central African Republic,Cameroon,0.4699982787619555,0.166,0.7090492546721364,-0.022999999999999993,0.7090492546721365,1.63631370372888,0.11924624559453674,0.432,0.0,0.0,0.2631363315570451
Central African Republic,Chad,0.16433486347329573,0.102,0.01695980364873867,-0.08700000000000001,0.01695980364873867,3.68277137079953,0.38162764665567084,0.201,0.0,0.0,0.12826662838042371
Central African Republic,Democratic Republic of the Congo,0.2852904623082751,0.146,0.6760227592628701,-0.04300000000000001,0.6760227592628703,0.70624628058302,0.0,0.224,0.0,0.0,0.9999999999999999
Central African Republic,Republic of the Congo,0.03928353127570845,0.093,0.22420730727829818,-0.096,0.22420730727829813,8.50579936930912,1.0,0.283,0.0,0.0,0.0
Central African Republic,South Sudan,0.0033245645064451557,0.105,0.0,-0.084,0.0,6.67856203968099,0.765725380820945,0.028,0.0,0.0,0.08686099911220724
Central African Republic,Sudan,0.03776829967432008,0.071,0.9999999999999999,-0.11800000000000001,1.0,1.2513445422805,0.06988839687307148,0.141,0.0,0.0,0.4911380079339579
Democratic Republic of the Congo,Angola,0.03705924442472428,0.148,0.33186431598102284,0.017999999999999988,0.3318643159810228,0.427004679966497,0.0,0.176,0.0,0.0,0.4596136599629679
Democratic Republic of the Congo,Burundi,0.08490428393832919,0.062,0.004082643874080183,-0.068,0.00408264387408018,2.56563222872762,0.26472111632968665,0.252,0.0,0.0,0.11134814125848409
Democratic Republic of the Congo,Central African Republic,0.005698193606670744,0.172,0.0,0.04199999999999998,0.0,1.6651721924121,0.15326141584944195,0.276,0.0,0.0,0.0
Democratic Republic of the Congo,Republic of the Congo,0.022085247054967283,0.099,0.029534030024092238,-0.031,0.02953403002409223,8.50579936930912,1.0000000000000002,0.328,0.0,0.0,0.007131051186840334
Democratic Republic of the Congo,Rwanda,0.07706452090003878,0.144,0.01983462537315307,0.013999999999999985,0.019834625373153073,3.80308098441419,0.41789356386310234,0.808,0.0,0.0,0.13510440039551064
Democratic Republic of the Congo,South Sudan,0.01850164090387621,0.067,0.029859588608912864,-0.063,0.029859588608912857,6.67856203968099,0.7738230268385725,0.018,0.0,0.0,0.12226557269991169
Democratic Republic of the Congo,Tanzania,0.07978570315029561,0.387,0.13240847613207865,0.257,0.13240847613207862,0.488535530485828,0.007616340417773114,0.634,0.0,0.0,0.9232956239063617
Democratic Republic of the Congo,Uganda,0.4587665439486423,0.253,0.08895685761134643,0.123,0.08895685761134642,1.92012616805897,0.18481983334248706,0.304,0.0,0.0,0.6628051945173499
Democratic Republic of the Congo,Zambia,0.06598292340716401,0.365,0.05667999874870021,0.235,0.0566799987487002,0.789025650319302,0.044811260128986265,0.344,0.0,0.0,0.223727324032575
Nigeria,Niger,0.5568648105002246,0.504,0.0,0.10599999999999998,0.0,0.951072208218253,0.0,0.295,0.0,0.0,0.5965827419560439
Nigeria,Cameroon,0.38464124926726356,0.158,1.0,-0.24000000000000002,1.0,1.63631370372888,0.2508480819912536,0.406,0.0,0.0,1.0
Nigeria,Chad,0.058493940232511775,0.097,0.11609383510826993,-0.30100000000000005,0.11609383510826987,3.68277137079953,0.9999999999999998,0.228,0.0,0.0,0.0
Somalia,Ethiopia,0.361203860259003,0.109,0.6670711874866423,-0.0050000000000000044,0.6670711874866423,1.07952601222951,0.0,0.309,0.0,0.0,0.9999999999999999
Somalia,Kenya,0.4404566257623191,0.346,1.0,0.23199999999999998,1.0,2.35472288542212,0.05467260577292456,0.553,1.63053,1.0,0.4597510508914834
South Sudan,Democratic Republic of the Congo,0.02396574851338443,0.146,0.06876128315132335,0.040999999999999995,0.06876128315132335,0.70624628058302,0.0,0.224,0.0,1.0,0.5924543035326366
South Sudan,Ethiopia,0.1661249837325002,0.109,0.550167441935997,0.0040000000000000036,0.550167441935997,1.07952601222951,0.22643920486995578,0.309,-9.0,0.0,1.0
South Sudan,Kenya,0.05947568040678531,0.344,1.0,0.239,1.0,2.35472288542212,1.0000000000000002,0.553,-9.0,0.0,0.1682148528986983
South Sudan,Sudan,0.34004178089357695,0.071,0.35499221982398743,-0.034,0.3549922198239873,1.2513445422805,0.33066787851119345,0.141,0.0,1.0,0.028109494449225836
South Sudan,Uganda,0.4103918064537531,0.267,0.0,0.16200000000000003,0.0,1.92012616805897,0.736364643521545,0.325,-9.0,0.0,0.0
Syria,Iraq,0.04527513358544842,0.27,0.19305247442400045,0.22700000000000004,0.19305247442400045,0.9715760982742,0.010739626201008413,0.47,7479.8989,0.9999999999999999,0.3217468115519325
Syria,Jordan,0.11884861373424978,0.218,0.0,0.175,0.0,40.9771116038916,1.0,0.726,0.0,0.0,0.031021328124293868
Syria,Lebanon,0.14802369329503723,0.3,0.012855265096137415,0.257,0.012855265096137415,34.1456803007755,0.8310717704665188,0.567,0.0,0.0,0.0
Syria,Turkey,0.6633778897244742,0.383,0.9999999999999999,0.34,1.0,3.76900110251173,0.07991459587434477,0.712,336.64645,0.045006818207128436,0.8602497888839657
Venezuela,Brazil,0.06390602327707252,0.795,1.0,0.682,1.0,0.34331320024167,0.007918336520771542,0.499,0.0,0.0,0.9999999999999999
Venezuela,Colombia,0.3724376076697012,0.538,0.15309909750473555,0.42500000000000004,0.15309909750473555,0.276047226979187,0.0,0.373,431.0545,0.3694683397094992,0.22836519966686275
Venezuela,Guyana,0.004952654643103621,0.397,0.0,0.28400000000000003,0.0,2.00551438236962,0.2035873752181465,0.661,0.0,0.0,0.0
